Country,Countryid,Device,Delta,,rho0,rho0se,,rho1,rho1se,noobs,Threshold,Transactioncost
DE,8,iPad,24,0,0.562,0.112,1,-0.865,0.045,290,0.066,0.19
DK,9,iPad,24,0,0.083,0.164,1,-0.856,0.043,290,0.0374,0.25
ES,10,iPad,24,0,0.63,0.15,1,-0.457,0.043,290,0.1758,0.21
FI,11,iPad,24,0,-0.159,0.064,1,-0.948,0.055,290,0.1088,0.24
FR,12,iPad,24,0,0.302,0.105,1,-0.784,0.046,290,0.0666,0.2
HK,13,iPad,24,0,-0.384,0.047,1,-0.144,0.052,290,0.0109,0
HU,14,iPad,24,0,-1.51,0.252,1,-0.72,0.052,290,0.0422,0.27
IE,15,iPad,24,0,0.019,0.077,1,-0.876,0.049,290,0.0826,0.23
IT,16,iPad,24,0,-0.129,0.067,1,-0.923,0.054,290,0.102,0.22
JP,17,iPad,24,0,-0.828,0.082,1,-1.447,0.063,290,0.0577,0
KR,18,iPad,24,0,-1.821,0.252,1,-0.864,0.043,290,0.0219,0.1
LU,19,iPad,24,0,-0.129,0.067,1,-0.923,0.054,290,0.102,0.17
MX,20,iPad,24,0,-0.422,0.081,1,-1.043,0.064,290,0.1094,0.16
MY,21,iPad,24,0,-0.237,0.106,1,-1.179,0.054,290,0.0607,0.082038217
NL,22,iPad,24,0,-0.128,0.067,1,-0.924,0.054,290,0.1025,0.21
NO,23,iPad,24,0,-0.436,0.079,1,-0.968,0.057,290,0.0824,0.25
NZ,24,iPad,24,0,-0.403,0.093,1,-0.935,0.065,290,0.0567,0.15
PH,25,iPad,24,0,0.148,0.084,1,-0.769,0.048,290,0.0408,0.12
PL,26,iPad,24,0,-0.404,0.07,1,-0.911,0.06,290,0.1525,0.23
PT,27,iPad,24,0,-0.159,0.064,1,-0.951,0.056,290,0.1086,0.23
RU,28,iPad,24,0,0.106,0.295,1,-0.929,0.049,290,0.0326,0.19
SE,29,iPad,24,0,0.612,0.122,1,-0.81,0.044,290,0.0702,0.25
SG,30,iPad,24,0,-0.038,0.072,1,-0.806,0.044,290,0.0457,0.07
TH,31,iPad,24,0,-0.516,0.07,1,-0.88,0.064,290,0.072,0.07
TR,32,iPad,24,0,-3.547,0.636,1,-1.16,0.059,290,0.0232,0.18
TW,33,iPad,24,0,-0.088,0.096,1,-0.805,0.041,290,0.0271,0.05
UK,34,iPad,24,0,0.451,0.114,1,-0.959,0.047,290,0.0514,0.2
AE,1,iPad Mini,24,0,5.269,0.842,1,-0.38,0.038,290,0.0026,0.033280255
AT,2,iPad Mini,24,0,-0.285,0.065,1,-1.15,0.069,290,0.1048,0.2
AU,3,iPad Mini,24,0,-0.059,0.104,1,-0.744,0.054,290,0.0522,0.1
BE,4,iPad Mini,24,0,-0.24,0.08,1,-0.985,0.064,290,0.0816,0.21
BR,5,iPad Mini,24,0,-0.005,0.085,1,-0.408,0.062,290,0.2041,0.2925
CA,6,iPad Mini,24,0,-0.194,0.088,1,-0.73,0.051,290,0.0705,0.05
CZ,7,iPad Mini,24,0,-0.048,0.11,1,-0.87,0.058,290,0.0796,0.21
DE,8,iPad Mini,24,0,0.084,0.091,1,-1.217,0.063,290,0.1018,0.19
DK,9,iPad Mini,24,0,0.096,0.118,1,-0.76,0.055,290,0.0558,0.25
ES,10,iPad Mini,24,0,-0.176,0.077,1,-0.996,0.062,290,0.0935,0.21
FI,11,iPad Mini,24,0,-0.29,0.083,1,-0.974,0.066,290,0.0758,0.24
FR,12,iPad Mini,24,0,-0.236,0.077,1,-1.011,0.065,290,0.0905,0.2
HK,13,iPad Mini,24,0,0.263,0.061,1,-0.276,0.035,290,0.0197,0
HU,14,iPad Mini,24,0,0.115,0.225,1,-0.595,0.054,290,0.0441,0.27
IE,15,iPad Mini,24,0,-0.144,0.1,1,-0.922,0.06,290,0.0574,0.23
IT,16,iPad Mini,24,0,-0.24,0.08,1,-0.985,0.064,290,0.0816,0.22
JP,17,iPad Mini,24,0,-0.394,0.106,1,-1.203,0.066,290,0.0482,0
KR,18,iPad Mini,24,0,-0.2,0.07,1,-0.613,0.064,290,0.0709,0.1
LU,19,iPad Mini,24,0,-0.24,0.08,1,-0.985,0.064,290,0.0817,0.17
MX,20,iPad Mini,24,0,-0.718,0.048,1,,,290,,0.16
MY,21,iPad Mini,24,0,0.328,0.074,1,-1.035,0.045,290,0.0931,0.082038217
NL,22,iPad Mini,24,0,-0.239,0.08,1,-0.986,0.064,290,0.0814,0.21
NO,23,iPad Mini,24,0,-0.103,0.074,1,-0.863,0.062,290,0.0852,0.25
NZ,24,iPad Mini,24,0,-0.619,0.055,1,,,290,,0.15
PH,25,iPad Mini,24,0,-0.254,0.061,1,-1.033,0.075,290,0.0651,0.12
PL,26,iPad Mini,24,0,0.136,0.171,1,-0.64,0.054,290,0.0622,0.23
PT,27,iPad Mini,24,0,-0.29,0.083,1,-0.974,0.066,290,0.0758,0.23
RU,28,iPad Mini,24,0,-0.431,0.133,1,-1.006,0.059,290,0.0528,0.19
SE,29,iPad Mini,24,0,-0.235,0.06,1,-1.111,0.072,290,0.1278,0.25
SG,30,iPad Mini,24,0,6.698,2.708,1,-0.866,0.054,290,0.0025,0.07
TH,31,iPad Mini,24,0,0.646,0.296,1,-0.599,0.047,290,0.0191,0.07
TR,32,iPad Mini,24,0,-0.934,0.087,1,-1.412,0.078,290,0.1254,0.18
TW,33,iPad Mini,24,0,0.27,0.139,1,-0.489,0.044,290,0.025,0.05
UK,34,iPad Mini,24,0,-0.069,0.051,1,-1.212,0.055,290,0.1178,0.2
AE,1,iPad Pro Large,36,0,2.84,0.186,1,-0.416,0.032,278,0.0117,0.033280255
AT,2,iPad Pro Large,36,0,-0.663,0.1,1,-1.233,0.072,278,0.0474,0.2
AU,3,iPad Pro Large,36,0,0.525,0.361,1,-1.194,0.057,278,0.0268,0.1
BE,4,iPad Pro Large,36,0,-0.659,0.116,1,-1.235,0.069,278,0.0421,0.21
BR,5,iPad Pro Large,36,0,-0.395,0.086,1,-0.785,0.065,278,0.1255,0.2925
CA,6,iPad Pro Large,36,0,-2.149,0.202,1,-0.712,0.057,278,0.0306,0.05
